id,name,party,partyLabel,votes,election,electionLabel,ranking
Q76363201,Duncan Baker,Q9626,Conservative Party (UK),29792,Q30173038,General election 2019,1
,Karen Ward,Q9624,Liberal Democrats (UK),15397,Q30173038,General election 2019,2
,Emma Corlett,Q9630,Labour Party (UK),3895,Q30173038,General election 2019,3
,Harry Gywnne,Q61651140,Brexit Party,1739,Q30173038,General election 2019,4
Q750179,Norman Lamb,Q9624,Liberal Democrats (UK),25260,Q25052149,General election 2017,1
Q76450761,James Wild,Q9626,Conservative Party (UK),21748,Q25052149,General election 2017,2
,Stephen Burke,Q9630,Labour Party (UK),5180,Q25052149,General election 2017,3
Q750179,Norman Lamb,Q9624,Liberal Democrats (UK),19299,Q3586935,General election 2015,1
,Ann Steward,Q9626,Conservative Party (UK),15256,Q3586935,General election 2015,2
,Michael Baker,Q10647,UK Independence Party,8328,Q3586935,General election 2015,3
,Denise Burke,Q9630,Labour Party (UK),5043,Q3586935,General election 2015,4
,Mike Macartney-Filgate,Q9669,Green Party of England and Wales,1488,Q3586935,General election 2015,5
Q750179,Norman Lamb,Q9624,Liberal Democrats (UK),27554,Q215622,General election 2010,1
,Trevor Ivory,Q9626,Conservative Party (UK),15928,Q215622,General election 2010,2
,Phil Harris,Q9630,Labour Party (UK),2896,Q215622,General election 2010,3
,Michael Baker,Q10647,UK Independence Party,2680,Q215622,General election 2010,4
,Andrew Boswell,Q9669,Green Party of England and Wales,508,Q215622,General election 2010,5
,Simon Mann,Q327591,Independent politician,95,Q215622,General election 2010,6
Q750179,Norman Lamb,Q9624,Liberal Democrats (UK),31515,Q428598,General election 2005,1
Q5980420,Iain Dale,Q9626,Conservative Party (UK),20909,Q428598,General election 2005,2
,Phil Harris,Q9630,Labour Party (UK),5447,Q428598,General election 2005,3
Q1338217,Stuart Agnew,Q10647,UK Independence Party,978,Q428598,General election 2005,4
,Justin Appleyard,Q327591,Independent politician,116,Q428598,General election 2005,5
Q750179,Norman Lamb,Q9624,Liberal Democrats (UK),23978,Q590740,General election 2001,1
Q5238722,David Prior,Q9626,Conservative Party (UK),23495,Q590740,General election 2001,2
,Mike Gates,Q9630,Labour Party (UK),7490,Q590740,General election 2001,3
,Mike Sheridan,Q9669,Green Party of England and Wales,649,Q590740,General election 2001,4
,Paul Simison,Q10647,UK Independence Party,608,Q590740,General election 2001,5
Q5238722,David Prior,Q9626,Conservative Party (UK),21456,Q918503,General election 1997,1
Q750179,Norman Lamb,Q9624,Liberal Democrats (UK),20163,Q918503,General election 1997,2
,Michael Cullingham,Q9630,Labour Party (UK),14736,Q918503,General election 1997,3
,John Allen,Q278315,Referendum Party,2458,Q918503,General election 1997,4
Q7287662,Ralph Howell,Q9626,Conservative Party (UK),28810,Q543609,General election 1992,1
Q750179,Norman Lamb,Q9624,Liberal Democrats (UK),16265,Q543609,General election 1992,2
,Michael Cullingham,Q9630,Labour Party (UK),13850,Q543609,General election 1992,3
Q444350,Angie Zelter,Q9669,Green Party of England and Wales,559,Q543609,General election 1992,4
,S. Jackson,Q491782,Natural Law Party,167,Q543609,General election 1992,5
